Epoch,Mean,Std,Min,Max,Validity,Uniqueness,Novelty,Diversity,Time
1,0.331,0.087,0.133,0.705,0.86198,0.97606,0.94286,0.92629,0.2
2,0.333,0.090,0.128,0.703,0.86558,0.97894,0.94492,0.92660,0.2
3,0.339,0.091,0.141,0.693,0.86799,0.97692,0.94212,0.92688,0.3
4,0.340,0.093,0.117,0.691,0.86799,0.97415,0.93177,0.92708,0.3
5,0.343,0.091,0.130,0.681,0.87500,0.97436,0.93844,0.92695,0.3
6,0.344,0.093,0.132,0.693,0.88081,0.97203,0.93332,0.92742,0.4
7,0.346,0.092,0.104,0.715,0.88802,0.97158,0.93638,0.92709,0.4
8,0.351,0.095,0.130,0.710,0.88762,0.96840,0.93661,0.92770,0.4
9,0.354,0.094,0.129,0.713,0.89824,0.96566,0.94134,0.92776,0.5
10,0.359,0.097,0.142,0.702,0.89463,0.97112,0.93359,0.92770,0.5
11,0.363,0.096,0.147,0.716,0.90104,0.96732,0.93955,0.92752,0.6
12,0.366,0.096,0.147,0.703,0.90144,0.96822,0.93711,0.92702,0.6
13,0.370,0.099,0.123,0.728,0.91086,0.96899,0.94644,0.92672,0.7
14,0.373,0.097,0.146,0.733,0.90725,0.96909,0.93917,0.92662,0.7
15,0.377,0.100,0.136,0.728,0.90745,0.96269,0.93878,0.92632,0.7
16,0.382,0.099,0.132,0.719,0.91386,0.95528,0.94355,0.92680,0.8
17,0.385,0.099,0.154,0.715,0.92087,0.95671,0.94293,0.92541,0.8
18,0.389,0.101,0.141,0.727,0.92388,0.95663,0.93903,0.92609,0.9
19,0.394,0.101,0.144,0.715,0.91647,0.94907,0.94242,0.92502,0.9
20,0.400,0.101,0.153,0.727,0.92228,0.94461,0.94413,0.92521,0.9
21,0.405,0.101,0.131,0.727,0.92728,0.93930,0.94135,0.92516,1.0
22,0.409,0.102,0.149,0.719,0.92568,0.93811,0.94441,0.92412,1.0
23,0.409,0.103,0.131,0.728,0.92228,0.93050,0.93954,0.92438,1.0
